País,Código País,Año,Empleo Agrícola (% total)
Argentina,ARG,2018,0.624305051358124
Argentina,ARG,2019,0.609655372977703
Argentina,ARG,2020,0.60550970861866
Argentina,ARG,2021,0.57090709431071
Argentina,ARG,2022,0.646132629931651
Argentina,ARG,2023,0.612884087432253
Bolivia,BOL,2018,31.0700245272046
Bolivia,BOL,2019,27.4144207801314
Bolivia,BOL,2020,30.0006508193377
Bolivia,BOL,2021,27.6474130269739
Bolivia,BOL,2022,24.8081349396738
Bolivia,BOL,2023,24.3506189303342
Brazil,BRA,2018,9.05694235839641
Brazil,BRA,2019,8.87727553293967
Brazil,BRA,2020,9.31407272288487
Brazil,BRA,2021,9.49560878423923
Brazil,BRA,2022,8.73144055794584
Brazil,BRA,2023,8.202818535193
Chile,CHL,2018,7.99959707205695
Chile,CHL,2019,7.75184459874013
Chile,CHL,2020,7.18474407910328
Chile,CHL,2021,6.54762055002849
Chile,CHL,2022,6.32757390687919
Chile,CHL,2023,6.20836443013518
Colombia,COL,2018,16.9993713864705
Colombia,COL,2019,16.1112143953569
Colombia,COL,2020,16.6629573050187
Colombia,COL,2021,15.9278316950655
Colombia,COL,2022,14.6717582921949
Colombia,COL,2023,14.4388855774159
Ecuador,ECU,2018,28.8247104122929
Ecuador,ECU,2019,29.7419391598716
Ecuador,ECU,2020,31.8163511825356
Ecuador,ECU,2021,32.2703707435044
Ecuador,ECU,2022,31.5261961027935
Ecuador,ECU,2023,29.9978166079384
Paraguay,PRY,2018,20.0768865968517
Paraguay,PRY,2019,18.722296245164
Paraguay,PRY,2020,21.2745232478874
Paraguay,PRY,2021,19.7142857142857
Paraguay,PRY,2022,17.4129044866609
Paraguay,PRY,2023,17.1714081244758
Peru,PER,2018,26.126784937774
Peru,PER,2019,25.5684626647487
Peru,PER,2020,33.6557327033326
Peru,PER,2021,27.8582293793428
Peru,PER,2022,25.6687857860982
Peru,PER,2023,23.9668308166303
Uruguay,URY,2018,8.35871374325393
Uruguay,URY,2019,8.30059631541847
Uruguay,URY,2020,8.01135998973108
Uruguay,URY,2021,8.66744327682523
Uruguay,URY,2022,8.68555931388476
Uruguay,URY,2023,8.70560871291987
"Venezuela, RB",VEN,2018,9.32119506043309
"Venezuela, RB",VEN,2019,10.7202209003122
"Venezuela, RB",VEN,2020,11.0924507459487
"Venezuela, RB",VEN,2021,11.1787820083914
"Venezuela, RB",VEN,2022,10.8805478395107
"Venezuela, RB",VEN,2023,10.6310221035829
